feature,LR,RF,XGB,avg_importance
Contract,1.0,1.0,1.0,1.0
contract_tenure_ratio,0.6387031177211311,0.9572167810464595,0.11085446,0.5689247868522406
tenure_charges_ratio,0.12415368964965967,0.6711364393018758,0.7091761,0.501488750697926
tenure,0.9049089292660502,0.3167234679214647,0.052798383,0.4248102600418077
tenure_log,0.9546034677094792,0.24812486499833225,0.0,0.40090944423593716
OnlineSecurity,0.16872441704103086,0.38676907400093335,0.30399716,0.2864968833487252
charges_squared,0.472760697223523,0.3390156734113734,0.0,0.2705921235449655
tenure_squared,0.4686141060412154,0.2585712606833444,0.0,0.24239512224151993
TechSupport,0.052958293353437214,0.43549176937013895,0.15090625,0.21311877086812228
internet_no_support,0.2915170225596619,0.31826467292480926,0.0,0.20326056516149038
MonthlyCharges,0.05279497213303555,0.2963208100597386,0.24899432,0.19937003427460046
electronic_check_flag,0.20619880898845708,0.1766114224385825,0.21274501,0.19851841409328444
charge_per_service,0.0201253370724462,0.36704503040046144,0.14616233,0.1777775661923954
fiber_no_support,0.012834920490674508,0.289157638982698,0.17855969,0.16018408339575166
PaperlessBilling,0.12346078307871257,0.14679504442013008,0.16020913,0.14348832057330654
services_count,0.35306354121587824,0.04520883070747848,0.0,0.13275745730778557
senior_fiber,0.38720239806195644,0.011033838485235528,0.0,0.13274541218239733
tenure_charges_interaction,0.10844271803461471,0.20337041203400985,0.033136707,0.11498327895596443
InternetService,0.20315275765981725,0.13398972760127256,0.0,0.11238082842036327
service_quality_score,0.13165154595315198,0.1471606290435707,0.042650122,0.10715409906406831
charges_log,0.03586850519740277,0.27203197141155855,0.0,0.1026334922029871
monthly_short_tenure,0.009162818682402563,0.26423364976862923,0.0,0.09113215615034392
tenure_bucket,0.1543973549228339,0.07779289903804154,0.0,0.07739675132029182
SeniorCitizen,0.16182649315197337,0.042638652167630596,0.024314709,0.076259951442448
OnlineBackup,0.10904777881098447,0.054534065417364996,0.054568287,0.0727167104045028
StreamingMovies,0.03978178302293717,0.08428748228207607,0.093852535,0.07264060006506269
established,0.10616958400884392,0.11074986754599565,0.0,0.07230648385161319
expensive_no_support,0.022381286125358602,0.19070592131125086,0.0,0.07102906914553649
very_new,0.15453710120890665,0.04396930961684476,0.0,0.0661688036085838
risky_payment_high_charge,0.05361563834593801,0.12532117124656844,0.013056908,0.06399790579844222
MultipleLines,0.008016520457785368,0.06831925689293712,0.114057094,0.06346429040314712
PhoneService,0.16146364813933642,0.016074561688066615,0.010328508,0.06262223926986582
triple_risk,0.16019906956095886,0.02762345729767835,0.0,0.06260750895287907
monthly_new_customer,0.10728998031980817,0.07829025593544413,0.0,0.061860078751750765
Dependents,0.05070764404843607,0.05814787309669633,0.06436871,0.05774140902232308
StreamingTV,0.0783106577355592,0.06267635987218058,0.013331144,0.051439387241519564
PaymentMethod,0.03593934947597098,0.0748110553485234,0.028249381,0.04633326197818884
senior_high_charge,0.12051962322005247,0.013826002809244084,0.0024484915,0.0455980391828712
isolated_customer,0.10699377580373577,0.02324705487737386,0.0,0.04341361022703655
payment_service_risk,0.059736499721760226,0.06087184394442315,0.0,0.040202781222061126
auto_payment_flag,0.04426976111368836,0.07379385599274012,0.0,0.039354539035476165
fiber_full_services,0.02304950838144032,0.07828789070877407,0.013084108,0.03814050236671627
early_exit_window,0.10593782338184689,0.008199756020831537,0.0,0.038045859800892805
isolated_no_support,0.06452972109892245,0.04474020886032867,0.0,0.03642330998641704
DeviceProtection,0.08503334280249533,0.021883257820858294,0.0,0.035638866874451204
price_jumper,0.051555034236026906,0.03307869542860235,0.011789955,0.03214122828779802
high_charge_per_service,0.02138940235162319,0.06547259999851367,0.0,0.028954000783378953
gender,0.017964601080144135,0.03236578650723211,0.02870505,0.026345145631176833
internet_minimal_services,0.04661084052015915,0.01849928949487374,0.009234393,0.02478150767684559
Partner,0.05186187084939218,0.015868911087085574,0.0059344037,0.024555061893357544
senior_isolated,0.026502777041670873,0.011547795608727516,0.0,0.012683524216799464
oneyear_midtenure,0.01632303663425569,0.0031975972064493623,0.0,0.006506877946901683
